标题,原价,颜色,销量,卖点,店铺
大疆 Osmo Action 5 Pro 超旗舰画质运动相机户外摩托骑行潜水vlog相机便携式旅拍摄像机,1848.00,标准套装,30万+,"['4小时超长续航', '超级夜景', '人物居中和跟随', '电子防抖', '畅拍无忧', '触屏操作', '语音操控', '4K录制', '户外利器', '实用功能']",DJI大疆创新京东自营旗舰店
松典（SONGDIAN）数码相机前后双摄6400W高像素学生照相机 vlog校园便携迷你卡片机可传手机 冰川白 128G 内存,434.00,冰川白【6400W像素+前后双摄】,3万+,"['AF自动对焦', '友好操作界面', '引领时尚潮流', '无惧暗光环境', '闪光灯照明', '简约冰川白', '前后双摄像', '128G大存储', '轻巧易携带', '前后双摄镜头']",松典（SONGDIAN）京东自营旗舰店
aigo爱国者P618前后双摄自拍学生数码相机生日礼物女生入门校园旅游微单摄像Vlog平替ccd白色32G广角镜,539.00,银白色【配广角+微距镜头】,2000+,"['高清双摄', '前后高清双摄', '前后双摄']",aigo数码相机京东自营旗舰店
大疆 DJI Osmo Action 4灵眸运动相机摩托车山地公路骑行潜水防抖户外vlog便携式4k旅游,1248.65,标准套装,30万+,"['前后双触摸彩屏', '耐低温长续航', '多角度拍摄', '秒切横竖', '灵动创意', '便携设计', '效率倍增', '电子防抖', '磁吸快拆', '裸机18米防水']",DJI大疆创新京东自营旗舰店
,,,,,
松典（SONGDIAN）数码相机前后双摄6400W高像素学生照相机 vlog校园便携迷你卡片机可传手机 冰川白 64G 内存,409.00,冰川白【6400W像素+前后双摄】,3万+,"['前后双摄镜头', 'AF自动对焦', '6400万像素', '便携迷你', '手机传输', '4K高清录像', '电子防抖', 'LED闪光灯', '多重滤镜', 'OTG功能']",松典（SONGDIAN）京东自营旗舰店
富士（FUJIFILM）X-H2S 微单相机 单机身 7档五轴防抖 40张/秒连拍 2616万像素 全天候设计 无惧挑战,16700.00,X-H2S,9000+,"['电影级视频表现', '全新5代处理器']",富士（FUJIFILM）京东自营旗舰店
松典DC218 入门级前后双摄高清数码相机学生自拍vlog可传手机ccd平替高中生旅游专用微单4K国产照相机 黑色 官方标配+32G内存【约存3千张照片】,439.00,黑色,4000+,"['4K视频录像', '6400万像素', '前后高清双摄']",松典数码相机旗舰店
松典（SONGDIAN）数码相机前后双摄8K高清有效像素4800万微单照相机vlog DC226 128G内存,1089.00,星际黑【触控升级款】,2000+,"['8K摄录', '前后双摄', '索尼芯片', '4K视频拍摄', '4800万像素', '双摄设计', '大底传感', '高清画质']",松典（SONGDIAN）京东自营旗舰店
松典（SONGDIAN）学生数码照相机前后双摄6400W像素vlog校园旅游平替ccd  官方标配+广角镜 128G内存 白色,499.00,白色+广角镜【6400W像素双摄】,3万+,"['外接专业镜头', '6400万像素', '前后双摄镜头']",松典（SONGDIAN）京东自营旗舰店
富士（FUJIFILM）X half 数码半格相机 胶片模拟 创意滤镜 胶片相机拍摄模式 2in1玩法 黑色,4999.00,黑色,5000+,"['9万+店铺粉丝浏览', '2in1玩法', '13种胶片模拟']",富士（FUJIFILM）京东自营旗舰店
KGPGccd数码相机翻转屏照相机拍立得学生党自拍旅游生日礼物女生送女友朋友闺蜜入门级相机  礼盒装 白,359.00,白色【限定礼盒】,7000+,"['可传手机电脑', '定制礼盒', '自拍翻转屏']",KGPG京东自营旗舰店
小巧轻便微单相机 Vlog拍摄日常记录 4K视频家用直播旅游r100照相机 学生微单 R100+RF-S18-45套机【日常家用】 官方标配【京东多仓发~,4699.00,R100+RF-S18-45套机【日常家用】,60万+,"['货源保障', '热销榜1位', '旗舰品质', '急速送达', '旅行拍摄', '日常记录', '高清画质', '随时直播', '流畅Vlog', '入门级像素']",佳能（Canon）数码旗舰店
松典（SONGDIAN）数码学生相机便携取代CCD卡片机vlog高清入门级照相机dc302 象牙白 【AF对焦】旗舰版+64G内存,289.00,象牙白【6400W像素+4K摄录】,3万+,"['4K高清录像', 'AF自动对焦', '6400万像素']",松典（SONGDIAN）京东自营旗舰店
富士（FUJIFILM）X-E5／XE5 微单相机 单机身 4020万像素 7档五轴防抖 胶片模拟拨盘 6k30p视频拍摄 银色,9999.00,银色,3000+,"['6k30p视频', '7万+店铺粉丝浏览', '7档五轴防抖']",富士（FUJIFILM）京东自营旗舰店
联想（Lenovo）C35 数码相机6400W高清摄像vlog随身便携学生入门照相机口袋相机微单平替64GB,599.00,【曜石黑】,400+,"['复古卡片机', '6400万高清', '便携口袋相机']",联想京东自营旗舰店
大疆 DJI Osmo Pocket 3 标准版 一英寸口袋云台相机 OP灵眸手持数码相机 旅游vlog 便携美颜摄像,2799.00,标准版,80万+,"['三轴增稳', '2 英寸旋转屏', '便携美颜', '多种场景', '旋转屏幕', '灵活操作', '大屏取景', '出色画质', '动听音效', '立体收音']",DJI大疆创新京东自营旗舰店
komeryX7全新数码相机学生党入门级5K高清双摄防抖微单照相机X7粉色+64G+双充+电池+读卡器,559.00,X7粉色+64G+双充+电池+读卡器,100+,"['30帧流畅', '双充电池', '5K分辨率', '高清画质', '读卡器配', '粉色时尚', '双摄防抖']",komery京东自营旗舰店
松典（SONGDIAN）数码相机前后双摄6400W高像素学生照相机 vlog校园便携迷你卡片机可传手机 冰川白 32G 内存,389.00,冰川白【6400W像素+前后双摄】,3万+,"['手机传输', '无惧阴影', '轻松分享', '高质量影像', '冰川白色', '适合vlog', '前后双摄镜头', '内存扩展', 'AF自动对焦', '迷你卡片']",松典（SONGDIAN）京东自营旗舰店
入门级微单相机 旅行家用学生vlog视频 4k小巧便携半画幅 数码相机 下单抽拉布布&金豆 R100 RF-S 18-45STM 套机 官方标配【不含内存卡相机包等必要配件 ...,5099.00,R100 RF-S 18-45STM 套机,60万+,"['3C热销榜1位', '优质影像', '定制礼物', '多场景应用', '高清像素', '入门友好', '小巧便携', '4K视频', '易于携带', '轻松上手']",佳能（Canon）相机旗舰店
纽曼（Newsmy）N8数码相机学生党ccd翻转屏自拍高清像素校园拍照旅游专用入门微单美颜滤镜女生日礼物128G+广角镜,579.00,白色【配广角+微距镜头】,1000+,"['2000mAh', '广角+微距镜头', '真4K超清录像']",纽曼（Newsmy）数码相机京东自营旗舰店
松典（SONGDIAN）数码相机前后双摄8K高清有效像素4800万微单照相机vlogDC226 白色 128G内存,1089.00,奶白色【触控升级款】,2000+,"['索尼芯片', '4800万像素', '白色时尚', '128G内存', '前后双摄', '8K摄录', '高清画质', '双摄设计']",松典（SONGDIAN）京东自营旗舰店
富士（FUJIFILM）X-E5／XE5 微单相机 单机身 4020万像素 7档五轴防抖 胶片模拟拨盘 6k30p视频拍摄 银色,9999.00,银色,3000+,"['6k30p视频', '7万+店铺粉丝浏览', '7档五轴防抖']",富士（FUJIFILM）京东自营旗舰店
aigo爱国者D9/E9美拍版 翻转屏自拍学生数码照相机生日礼物女生入门微单校园高清旅游平替ccd 米白色 32GB,429.00,米白色,1000+,"['大传感器', '高清拍摄', '校园记录', '旅游常备', '翻转屏幕', '学生优质']",aigo相机旗舰店
富士（FUJIFILM）QuickSnap 一次性胶卷相机 复古胶片机 （含27张胶卷）胶卷相机,168.00,新QuickSnap,7万+,"['135彩卷', '胶卷相机', '27张', '27张胶卷']",富士（FUJIFILM）打印机京东自营旗舰店
松典（SONGDIAN）数码相机前后双摄6400W高清微单摄像vlog随身便携学生入门级照相机dc218 白色 32G 内存,409.00,白色【6400W+前后双摄】,4万+,"['4K高清录制', '前后双摄镜头', '6400万像素']",松典（SONGDIAN）京东自营旗舰店
aigo爱国者V1新旗舰  双摄自拍学生数码照相机生日礼物女生入门校园高清旅游平替ccd 白色32G,699.00,白色,,,aigo数码相机京东自营旗舰店
松典（SONGDIAN）数码相机学生6400W高清双摄 高中生vlog微单随身便携平替ccd照相机DC212 黑色 128G内存+皮包,549.00,【黑银色】官方标配+皮套套装,4000+,"['AF自动对焦', '4K前后双摄', '6400万像素']",松典（SONGDIAN）京东自营旗舰店
伴兮高清数码相机ccd替代学生入门高像素可传手机wifi校园高中生旅游便携拍摄vlog小卡片机自拍照相机,399.00,,1000+,"['前后双屏', '8000万像素', '5K超清录像']",伴兮数码京东自营旗舰店
松典（SONGDIAN）数码学生相机便携取代CCD卡片机vlog高清入门级照相机dc302 象牙白 【AF对焦】旗舰版+128G内存,329.00,象牙白【6400W像素+4K摄录】,3万+,"['AF自动对焦', '4K高清录像', '6400万像素', '捕捉精彩瞬间', '简单上手', '流行时尚', '功能齐全', '适合Vlog', '轻巧便携', '大容量存储']",松典（SONGDIAN）京东自营旗舰店
富士（FUJIFILM）X half 数码半格相机 胶片模拟 创意滤镜 胶片相机拍摄模式 2in1玩法 黑色,4999.00,黑色,5000+,"['9万+店铺粉丝浏览', '2in1玩法', '13种胶片模拟']",富士（FUJIFILM）京东自营旗舰店
松典（SONGDIAN）数码学生相机便携取代CCD卡片机vlog高清入门级照相机dc302 星际黑 【AF对焦】旗舰版+32G内存,259.00,星际黑【6400W像素+4K摄录】,3万+,"['4K高清录像', 'AF自动对焦', '6400万像素']",松典（SONGDIAN）京东自营旗舰店
伴兮高清微单相机翻转屏8K数码相机ccd替代学生高中生自拍入门照相机旅游高像素可传手机vlog卡片机,699.00,8K翻屏【8800W像素+wifi传输】,700+,"['8800万像素', 'wifi传输', '8K超清录像']",伴兮数码京东自营旗舰店
松下G100DK （Panasonic）微单相机   数码相机 vlog相机 微单套机12-32mm 4K视频 专业收音 柔肤自拍,2998.00,黑色,8000+,"['柔肤自拍', '数码升级', '轻巧便携', '高效拍摄', '入门友好', '清晰画质', '灵活镜头', '自动调节', '风光摄影', '4K视频']",松下影像京东自营旗舰店
,,,,,
komeryX7全新数码相机学生党入门级5K高清双摄防抖微单照相机X7棕色+64G+双充+电池+读卡器,559.00,X7棕色+64G+双充+电池+读卡器,100+,"['30帧流畅', '双充电池', '5K分辨率', '高清画质', '双摄防抖', '入门优质']",komery京东自营旗舰店
纽曼（Newsmy）N9微单翻转屏自拍wifi传图高清像素校园拍照旅游专用美颜滤镜女礼物数码相机学生64GB白色+广角镜,529.00,,,"['7500W像素', '六级AI美颜', '瘦脸大长腿', '广角镜头', '翻转屏幕', '微单设计', '校园记录', 'wifi传图', '高清拍摄', '美颜滤镜']",纽曼（Newsmy）数码相机京东自营旗舰店
松典DC218 入门级前后双摄高清数码相机学生自拍vlog可传手机ccd平替高中生旅游专用微单4K国产照相机 白色 官方标配+64G内存【约存6000张照片】,459.00,白色,4000+,"['前后高清双摄', '4K视频录像', '6400万像素']",松典数码相机旗舰店
富士（FUJIFILM）GFX100RF 无反中画幅相机 35mmF4固定镜头 银色（1.02亿像素 3档数码变焦 镜间快门 仅735g）,34900.00,银色,400+,"['镜间快门', '仅重735克', '40万+人浏览', '仅735g']",富士（FUJIFILM）京东自营旗舰店
松典（SONGDIAN）数码相机前后双摄6400W高清微单摄像vlog随身便携学生入门级照相机dc218 黑色 64G 内存,429.00,黑色【6400W+前后双摄】,4万+,"['4K高清录制', '前后双摄镜头', '6400万像素']",松典（SONGDIAN）京东自营旗舰店
HYUNDAI韩国现代ccd数码相机拍照旅游拍摄专用手持vlog摄影照相机学生党可上传手机入门级前后双屏可自拍,339.00,海沫紫【前后双屏-可自拍】,400+,"['前后双屏可自拍', '6400W像素', '旋转拨盘随时切', '学生入门', '滤镜丰富', '自拍便捷', '前后双屏', '高清成像', '旅游拍摄']",HYUNDAI数码京东自营旗舰店
索尼（SONY）【保价11.11】ZV-1F数码相机 创意外观滤镜/美肤拍照/大光圈/入门/超广角/Vlog 白色,2991.00,白色,1万+,"['轻巧设计', '便携入门款', '大光圈优势', '一机多能', '用户友好', '滤镜效果佳', '创意外观', '4K高清画质', '创意滤镜', '便捷入门']",SONY京东自营旗舰店
大疆【新品·政府补贴】DJI Osmo 360 8K高清全景运动相机防抖防水摩托车骑行潜水滑雪旅行手持摄像机,2585.00,标准套装,3万+,"['100万+人浏览', '近7日热销商品', '6千+人收藏']",DJI大疆创新京东自营旗舰店
索尼（SONY）【保价11.11】ZV-E10K 新升级标准镜头套装 黑色 新套机镜头E PZ 16-50mm F3.5-5.6 OSS II,4442.00,黑色,10万+,"['全新升级', 'RAW输出', '入门佳选', '视频采样', '入门优质', '精准对焦', '美颜美肤', '防抖镜头']",SONY京东自营旗舰店
INSTAX富士instax立拍立得 一次成像相机 mini12（mini11升级款）鸢尾紫,659.00,鸢尾紫,10万+,"['立拍立得', 'mini12', '自动曝光', '易于使用', '设计获奖', '个性化体验', '色彩丰富', '时尚外观', '迷你相纸', '清晰成像']",富士instax京东自营旗舰店
松下（Panasonic）ZS99 长焦便携数码相机/卡片机 30倍光学变焦 小巧便携 Type-C接口 黑色,3198.00,黑色,5000+,"['5轴防抖', '小巧便携', '30倍光学变焦']",松下（Panasonic）数码视听旗舰店
aigo爱国者D9美拍版 美颜自拍学生相机拍照旅游专用高清小型入门微单ccd平替卡片机儿童数码照相机 粉色 微距广角镜 |美颜滤镜+6400W像素 128GB【约存128000张照片】,619.00,粉色 微距广角镜 |美颜滤镜+6400W像素,600+,"['店铺被3千人种草', '6400W像素', '美颜滤镜可自拍']",aigo数码相机旗舰店
伴兮ccd相机翻转屏数码照相机学生高清校园学生党自拍入门级vlog相机拍照旅游专用女孩生日礼物女生 薄荷绿【6800万像素丨2K录像】 128GB【可拍约1.2万...,249.00,薄荷绿【6800万像素丨2K录像】,2000+,"['6800万像素', '闪光灯', '翻转屏自拍']",朗行名品专营店
富士（FUJIFILM）X-T30 III/XT30 III 微单相机 机身 银色（2610万像素 胶片模拟拨盘 性能提升 自动对焦）,6499.00,银色,2000+,"['Wi-Fi传输', '自动对焦', 'RAW输出', '胶片模拟', '2610万像素', '高速连拍']",富士（FUJIFILM）京东自营旗舰店
索尼（SONY）【保价11.11】ZV-E10L 半画幅微单相机 标准镜头套装 颜值机身 精准对焦 VLOG APS-C画幅 黑色,4225.00,黑色,10万+,"['精准对焦', '美颜美肤', 'RAW输出', '入门级像素', '自然清透', '轻巧机身', '拍照轻松', '光圈宽阔', '清晰体验', '标准镜头']",SONY京东自营旗舰店
